sl_no,gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mca_p,status,salary
1,M,67,Others,91,Others,Commerce,58,Sci&Tech,No,55,Computer Application,58.8,Placed,270000
2,M,79.33,CBSE ,78.33,Others,Science,77.48,Sci&Tech,Yes,86.5,Computer Application,66.28,Placed,200000
3,M,65,ICSE ,68,ICSE ,Arts,64,Comm&Mgmt,No,75,Computer Application,57.8,Placed,250000
4,M,56,ICSE ,52,ICSE ,Science,52,Sci&Tech,No,66,Computer Application,59.43,Not Placed,
5,M,85.8,ICSE ,73.6,ICSE ,Commerce,73.3,Comm&Mgmt,No,96.8,Computer Application,55.5,Placed,425000
6,M,55,ICSE ,49.8,ICSE ,Science,67.25,Sci&Tech,Yes,55,Computer Application,51.58,Not Placed,
7,F,46,ICSE ,49.2,ICSE ,Commerce,79,Comm&Mgmt,No,74.28,Computer Application,53.29,Not Placed,
8,M,82,ICSE ,64,ICSE ,Science,66,Sci&Tech,Yes,67,Computer Application,62.14,Placed,252000
9,M,73,ICSE ,79,ICSE ,Commerce,72,Comm&Mgmt,No,91.34,Computer Application,61.29,Placed,231000
10,M,58,ICSE ,70,ICSE ,Commerce,61,Comm&Mgmt,No,54,Computer Application,52.21,Not Placed,
11,M,58,ICSE ,61,ICSE ,Commerce,60,Comm&Mgmt,Yes,62,Computer Application,60.85,Placed,260000
12,M,69.6,ICSE ,68.4,ICSE ,Commerce,78.3,Comm&Mgmt,Yes,60,Computer Application,63.7,Placed,250000
13,F,47,ICSE ,55,ICSE ,Science,65,Comm&Mgmt,No,62,Computer Application,65.04,Not Placed,
14,F,77,ICSE ,87,ICSE ,Commerce,59,Comm&Mgmt,No,68,Computer Application,68.63,Placed,218000
15,M,62,ICSE ,47,ICSE ,Commerce,50,Comm&Mgmt,No,76,Computer Application,54.96,Not Placed,
16,F,65,ICSE ,75,ICSE ,Commerce,69,Comm&Mgmt,Yes,72,Computer Application,64.66,Placed,200000
17,M,63,ICSE ,66.2,ICSE ,Commerce,65.6,Comm&Mgmt,Yes,60,Computer Application,62.54,Placed,300000
18,F,55,ICSE ,67,ICSE ,Commerce,64,Comm&Mgmt,No,60,Computer Application,67.28,Not Placed,
19,F,63,ICSE ,66,ICSE ,Commerce,64,Comm&Mgmt,No,68,Computer Application,64.08,Not Placed,
20,M,60,Others,67,ICSE ,Arts,70,Comm&Mgmt,Yes,50.48,AI & DS,77.89,Placed,236000
21,M,62,Others,65,ICSE ,Commerce,66,Comm&Mgmt,No,50,AI & DS,56.7,Placed,265000
